college_name,college_code,specialty,category,cutoff_rank,year,counselling_body,degree,round,state,college_type,quota
"PSM College of Dental Science& Research, Trichur.",,PROSTHODONTICS AND CROWN & BRIDGE,MUSLIM,9170,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Royal Dental College , Palakkad.",,PROSTHODONTICS AND CROWN & BRIDGE,EZHAVA,9277,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Annoor Dental College, Ernakulam.",,PROSTHODONTICS AND CROWN & BRIDGE,MM,9547,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Royal Dental College , Palakkad.",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,NRI,9647,2025,Kerala CEE,MDS,Round 1,Kerala,Private,NRI
"Educare Institute of Dental Sciences, Malappuram.",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,NRI,9724,2025,Kerala CEE,MDS,Round 1,Kerala,Private,NRI
"Malabar Dental College, Malappuram.",,PERIODONTOLOGY,STATE MERIT,9759,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"St. Geregorios Dental College, Ernakulam.",,CONSERVATIVE DENTISTRY AND ENDODONTICS,NRI,9770,2025,Kerala CEE,MDS,Round 1,Kerala,Private,NRI
"PSM College of Dental Science& Research, Trichur.",,PERIODONTOLOGY,BACKWARD HINDU,9777,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"PMS College of Dental Sciences & Reseach Centre, Vattapara, TVPM.",,PEDIATRIC AND PREVENTIVE DENTISTRY,SCHEDULED CASTE,10214,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Annoor Dental College, Ernakulam.",,PERIODONTOLOGY,STATE MERIT,10291,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Annoor Dental College, Ernakulam.",,PERIODONTOLOGY,MM,10335,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"KMCT Dental College, Kozhikode.",,PERIODONTOLOGY,SCHEDULED CASTE,10758,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Sree Anjaneya Institute of Dental Sciences, Kozhikode",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,NRI,10763,2025,Kerala CEE,MDS,Round 1,Kerala,Private,NRI
"Royal Dental College , Palakkad.",,PERIODONTOLOGY,STATE MERIT,10916,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Educare Institute of Dental Sciences, Malappuram.",,PERIODONTOLOGY,MUSLIM,10984,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"MES Dental College, Malappuram.",,PROSTHODONTICS AND CROWN & BRIDGE,BACKWARD CHRISTIAN,10986,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Royal Dental College , Palakkad.",,PERIODONTOLOGY,STATE MERIT,10999,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Sri. Sankara Dental College, Varkala",,PERIODONTOLOGY,STATE MERIT,11092,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Malabar Dental College, Malappuram.",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,NRI,11263,2025,Kerala CEE,MDS,Round 1,Kerala,Private,NRI
"MES Dental College, Malappuram.",,CONSERVATIVE DENTISTRY AND ENDODONTICS,NRI,11365,2025,Kerala CEE,MDS,Round 1,Kerala,Private,NRI
"PMS College of Dental Sciences & Reseach Centre, Vattapara, TVPM.",,PERIODONTOLOGY,BACKWARD CHRISTIAN,11556,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"KMCT Dental College, Kozhikode.",,CONSERVATIVE DENTISTRY AND ENDODONTICS,NRI,11643,2025,Kerala CEE,MDS,Round 1,Kerala,Private,NRI
"PSM College of Dental Science& Research, Trichur.",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,NRI,11711,2025,Kerala CEE,MDS,Round 1,Kerala,Private,NRI
"Sri. Sankara Dental College, Varkala",,PEDIATRIC AND PREVENTIVE DENTISTRY,EZHAVA,11776,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"PMS College of Dental Sciences & Reseach Centre, Vattapara, TVPM.",,ORAL MEDICINE AND RADIOLOGY,STATE MERIT,11913,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"PMS College of Dental Sciences & Reseach Centre, Vattapara, TVPM.",,CONSERVATIVE DENTISTRY AND ENDODONTICS,NRI,11946,2025,Kerala CEE,MDS,Round 1,Kerala,Private,NRI
"Pushpagiri college of Dental science, Thiruvalla",,PERIODONTOLOGY,EZHAVA,12145,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"PMS College of Dental Sciences & Reseach Centre, Vattapara, TVPM.",,CONSERVATIVE DENTISTRY AND ENDODONTICS,NRI,12227,2025,Kerala CEE,MDS,Round 1,Kerala,Private,NRI
"Educare Institute of Dental Sciences, Malappuram.",,PROSTHODONTICS AND CROWN & BRIDGE,MM,12503,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"KMCT Dental College, Kozhikode.",,ORAL AND MAXILLOFACIAL SURGERY,LATIN CATHOLIC,12582,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Sri. Sankara Dental College, Varkala",,PERIODONTOLOGY,SCHEDULED CASTE,12659,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Mar Baselios Dental College, Ernakulam.",,ORAL MEDICINE AND RADIOLOGY,STATE MERIT,12769,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"KMCT Dental College, Kozhikode.",,ORAL PATHOLOGY AND MICROBIOLOGY,STATE MERIT,13054,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"KMCT Dental College, Kozhikode.",,ORAL AND MAXILLOFACIAL SURGERY,NRI,13093,2025,Kerala CEE,MDS,Round 1,Kerala,Private,NRI
"Educare Institute of Dental Sciences, Malappuram.",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,NRI,13224,2025,Kerala CEE,MDS,Round 1,Kerala,Private,NRI
"Educare Institute of Dental Sciences, Malappuram.",,PERIODONTOLOGY,MM,13317,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"PSM College of Dental Science& Research, Trichur.",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,NRI,13335,2025,Kerala CEE,MDS,Round 1,Kerala,Private,NRI
