college_name,college_code,specialty,category,cutoff_rank,year,counselling_body,degree,round,state,college_type,quota
"- - - - - - Did not opt for Upgradation. 922 4707 Manageme nt/Paid Seats KLE VK Inst. of Dental Scie. Belagavi PERIODONTOLOGY Reported - - - - - - No Upgradation 923 4714 Manageme nt/Paid Seats BVDU Dental College and Hospital, Navi Mumbai",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,REPORTED,4670,2025,MCC,MDS,Round 2,,Government,
"- - - - - - Did not fill up fresh choices. 931 4806 Manageme nt/Paid Seats Manipal College of Dental Science, Mangalore",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,REPORTED,4788,2025,MCC,MDS,Round 2,,Government,
"- - - - Management/ Paid Seats BVDU Dental College and Hospital, Sangli",,CONSERVATIVE DENTISTRY AND ENDODONTICS,OPEN GENERAL,4830,2025,MCC,MDS,Round 2,Maharashtra,Government,
"Management/ Paid Seats Sharad Pawar Dental College and Hospital, Wardha",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,REPORTED,4914,2025,MCC,MDS,Round 2,,Government,
"- - - - - - Did not opt for Upgradation. 956 4967 Manageme nt/Paid Seats Manipal College of Dental Sce., Manipal",,CONSERVATIVE DENTISTRY AND ENDODONTICS,REPORTED,4949,2025,MCC,MDS,Round 2,,Government,
"- - - - Management/ Paid Seats SRM Dental College, Chennai",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,NO,5030,2025,MCC,MDS,Round 2,Tamil Nadu,Government,
"- - - - Management/ Paid Seats SRM Dental College, Chennai",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,OPEN GENERAL,5036,2025,MCC,MDS,Round 2,Tamil Nadu,Government,
"- - - - Management/ Paid Seats Sri Siddhartha DentalCollege, Tumkur",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,OPEN GENERAL,5051,2025,MCC,MDS,Round 2,Karnataka,Government,
"Muslim Minority Yenepoya Dental College, Yenepoya",,PROSTHODONTICS AND CROWN & BRIDGE,NO,5076,2025,MCC,MDS,Round 2,,Government,
"- - - - Management/ Paid Seats School of Dental Sciences and KIMSDU, Karad",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,OPEN GENERAL,5158,2025,MCC,MDS,Round 2,,Government,
"Muslim Minority Yenepoya Dental College, Yenepoya",,ORAL AND MAXILLOFACIAL SURGERY,OPEN GENERAL,5164,2025,MCC,MDS,Round 2,,Government,
"- - - - Management/ Paid Seats Yenepoya Dental College, Yenepoya",,PEDIATRIC AND PREVENTIVE DENTISTRY,OPEN GENERAL,5185,2025,MCC,MDS,Round 2,,Government,
